City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,cidreira,-30.1811,-50.2056,18.22,86,71,8.82,BR,1696025786
202,kapuskasing,49.4169,-82.4331,23.0,38,75,4.12,CA,1696025772
203,polyarnyy,69.1989,33.4478,10.3,93,100,5.1,RU,1696025753
204,porto novo,6.4965,2.6036,24.9,89,97,2.07,BJ,1696026008
205,quellon,-43.1167,-73.6167,9.18,68,20,3.53,CL,1696025813
206,pangody,65.85,74.4859,-1.03,94,18,5.4,RU,1696026283
207,badger,64.8,-147.5333,5.76,56,75,0.0,US,1696025759
208,chonchi,-42.6128,-73.8092,12.56,71,5,1.03,CL,1696026284
209,aral,40.5156,81.2636,18.48,29,100,2.26,CN,1696026284
210,babura,12.7731,9.0158,27.96,58,64,3.94,NG,1696026284
211,creswell,43.9179,-123.0245,15.71,90,100,1.23,US,1696026284
212,carolina beach,34.0352,-77.8936,24.48,78,7,0.89,US,1696026284
213,jackson,42.4165,-122.8345,21.44,60,75,2.57,US,1696026109
214,dongcun,36.7767,121.1597,15.9,94,0,2.97,CN,1696026285
215,slave lake,55.2834,-114.769,9.99,71,100,2.57,CA,1696025835
216,champerico,14.3,-91.9167,33.3,68,100,2.8,GT,1696026285
217,san pedro,14.35,121.0167,27.57,93,75,1.79,PH,1696026285
218,ambon,-3.6954,128.1814,27.71,95,75,2.06,ID,1696026286
219,celanova,42.153,-7.9551,18.22,58,0,0.76,ES,1696026286
220,kerikeri,-35.2268,173.9474,13.28,84,74,2.24,NZ,1696026286
221,guerrero negro,27.9769,-114.0611,22.92,61,2,7.06,MX,1696026286
222,fort st. john,56.2499,-120.8529,8.94,87,75,1.54,CA,1696026286
223,yatou,37.15,122.3833,16.12,85,26,3.38,CN,1696026287
224,jayapura,-2.5333,140.7,26.66,78,44,1.6,ID,1696025793
225,eraan,9.0629,117.7016,26.01,90,91,3.77,PH,1696026287
226,sitia,35.2,26.0986,23.32,78,14,4.92,GR,1696026287
227,ujae,8.9322,165.7642,28.54,79,87,5.75,MH,1696026288
228,christchurch,-43.5333,172.6333,10.23,62,20,12.86,NZ,1696026038
229,bentiu,9.2333,29.8333,24.42,79,9,0.38,SS,1696026289
230,chongjin,41.7956,129.7758,14.63,64,43,1.45,KP,1696026289
231,corinto,37.9407,22.9573,19.94,63,44,1.95,GR,1696026290
232,mae hong son,19.3003,97.9685,24.08,100,75,1.03,TH,1696026290
233,boguchany,58.3814,97.4531,7.64,84,100,4.32,RU,1696026290
234,lorengau,-2.0226,147.2712,27.77,82,41,3.53,PG,1696025808
235,springbok,-29.6643,17.8865,12.99,54,98,2.18,ZA,1696026291
236,hadibu,12.65,54.0333,26.81,80,95,2.55,YE,1696025749
237,beyneu,45.3167,55.2,15.67,41,7,2.86,KZ,1696026291
238,majuro,7.0897,171.3803,28.98,79,100,2.06,MH,1696026291
239,aykhal,66.0,111.5,2.38,98,100,4.44,RU,1696025765
240,puerto cabezas,14.0351,-83.3888,30.98,79,40,3.09,NI,1696026125
241,tura,25.5198,90.2201,23.84,95,100,1.87,IN,1696025807
242,kitsuki,33.4167,131.6167,21.89,88,75,1.54,JP,1696026292
243,salinas,36.6777,-121.6555,25.0,76,75,6.69,US,1696026292
244,nantucket,41.2835,-70.0995,17.23,99,100,6.69,US,1696025573
245,masterton,-40.9597,175.6575,7.16,97,100,5.01,NZ,1696025831
246,kaspiyskiy,45.3929,47.3707,17.49,67,1,2.45,RU,1696026293
247,tazovsky,67.4667,78.7,-2.3,86,13,7.67,RU,1696025784
248,manta,-0.95,-80.7333,24.88,73,75,5.14,EC,1696026293
249,pacific grove,36.6177,-121.9166,23.64,85,75,6.69,US,1696026183
250,bayramaly,37.6185,62.1671,14.86,35,0,2.41,TM,1696026294
251,xianning,29.8833,114.2167,21.5,86,85,1.38,CN,1696026294
252,revda,56.801,59.9303,8.07,98,100,1.87,RU,1696025806
253,timbuktu,16.7735,-3.0074,36.06,15,54,3.24,ML,1696026294
254,saipan,15.1355,145.701,29.39,84,0,2.57,MP,1696025780
255,kristiansund,63.1115,7.732,11.36,100,75,1.54,NO,1696026294
256,tocopilla,-22.092,-70.1979,19.4,68,21,4.18,CL,1696025872
257,huarmey,-10.0681,-78.1522,20.87,81,53,4.7,PE,1696025800
258,rodino,52.5,80.25,11.15,76,99,1.31,RU,1696026295
259,januaria,-15.4833,-44.3667,29.73,38,39,0.73,BR,1696026296
260,kem',64.9555,34.5793,13.42,95,100,4.39,RU,1696026296
261,nagqu,31.5,92.0,1.4,90,79,1.7,CN,1696026296
262,tolanaro,-25.0319,46.9987,20.27,91,1,4.26,MG,1696025821
263,malyye derbety,47.9547,44.6808,17.07,36,1,2.03,RU,1696026296
264,saint-francois,46.4154,3.9054,15.93,94,100,0.0,FR,1696026297
265,kudahuvadhoo,2.6708,72.8944,28.32,75,100,6.33,MV,1696026297
266,marion,39.7684,-86.1555,25.69,59,75,3.6,US,1696026297
267,ulsteinvik,62.3432,5.8487,14.31,83,95,4.47,NO,1696025863
268,fethiye,36.6217,29.1164,21.93,75,0,1.04,TR,1696026297
269,la punta,-33.1837,-66.3127,16.23,28,66,7.32,AR,1696026298
270,valparaiso,-33.0393,-71.6273,21.13,53,0,3.6,CL,1696025870
271,lysianka,49.2523,30.8295,15.01,52,0,2.84,UA,1696026298
272,loiza,18.4313,-65.8802,30.99,78,40,4.63,PR,1696026298
273,rio grande,-32.035,-52.0986,18.3,88,96,4.75,BR,1696025857
274,lewistown,40.5992,-77.5714,19.67,90,100,0.0,US,1696026299
275,baikonur,45.6167,63.3167,16.75,39,100,3.62,KZ,1696026299
276,port alfred,-33.5906,26.891,19.23,63,86,3.47,ZA,1696025786
277,sovetskaya gavan',48.9723,140.2878,13.01,63,100,3.26,RU,1696026199
278,shiprock,36.7855,-108.687,30.67,13,0,1.2,US,1696026299
279,villa hernandarias,-31.231,-59.985,18.47,39,31,3.82,AR,1696026299
